CName,PIp,CIp,AngleCAntennaToPRadio (째),AnglePAntennaToCRadio (째),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio2,192.168.1.254,192.168.1.11,60,15,100,150,dirt,0.5,None, None
Date (Mon/Day/Year),Time (Hour:Min:Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (째C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (째C),CUpTime,ULinkUpTime,CTxPower,US0,US1,USRSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-05,16:41:47,17,5.0,2.0,6.0,34.00,24-22:20:33,70,-68.5,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:08,0-07:45:36,7.0,-61.0,-61.0,-58.0,-101.0,43.0,MCS 14 short GI,252987,MCS 7 short GI,135211,0
2025-03-05,16:41:57,17,5.0,2.0,6.0,34.00,24-22:20:44,70,-68.0,-65.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:17,0-07:45:48,7.0,-60.0,-62.0,-58.0,-99.0,41.0,MCS 15,253113,MCS 7 short GI,135284,0
2025-03-05,16:42:08,17,5.0,2.0,6.0,34.00,24-22:20:52,70,-68.0,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:26,0-07:45:59,7.0,-61.0,-60.0,-57.0,-99.0,42.0,MCS 15 short GI,253240,MCS 7 short GI,135344,0
2025-03-05,16:42:18,17,5.0,2.0,6.0,34.00,24-22:21:04,70,-67.0,-65.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:38,0-07:46:08,7.0,-61.0,-60.0,-57.0,-101.0,44.0,MCS 15,253338,MCS 7 short GI,135400,0
2025-03-05,16:42:29,17,5.0,2.0,6.0,34.00,24-22:21:16,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:50,0-07:46:19,7.0,-60.0,-60.0,-57.0,-100.0,43.0,MCS 15,253455,MCS 7 short GI,135474,0
2025-03-05,16:42:39,17,5.0,2.0,6.0,34.00,24-22:21:23,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:00,0-07:46:27,7.0,-60.0,-60.0,-57.0,-99.0,42.0,MCS 15,253555,MCS 7 short GI,135523,0
2025-03-05,16:42:49,17,5.0,2.0,6.0,34.00,24-22:21:35,70,-69.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:08,0-07:46:39,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 14 short GI,253703,MCS 7 short GI,135614,0
2025-03-05,16:43:00,17,5.0,2.0,6.0,34.00,24-22:21:47,70,-68.0,-64.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:20,0-07:46:51,7.0,-60.0,-60.0,-57.0,-100.0,43.0,MCS 15,253816,MCS 7 short GI,135686,0
2025-03-05,16:43:10,17,5.0,2.0,6.0,34.00,24-22:21:55,70,-69.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:29,0-07:46:59,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,253908,MCS 7 short GI,135722,0
2025-03-05,16:43:20,17,5.0,2.0,6.0,34.00,24-22:22:07,70,-69.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:41,0-07:47:11,7.0,-60.0,-63.0,-58.0,-101.0,43.0,MCS 15,254033,MCS 7 short GI,135809,0
2025-03-05,16:43:31,17,5.0,2.0,6.0,34.00,24-22:22:16,70,-69.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:50,0-07:47:23,7.0,-60.0,-60.0,-57.0,-97.0,40.0,MCS 15,254146,MCS 7 short GI,135866,0
2025-03-05,16:43:41,17,5.0,2.0,6.0,34.00,24-22:22:28,69,-68.0,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:04:02,0-07:47:31,7.0,-60.0,-59.0,-57.0,-98.0,41.0,MCS 15,254280,MCS 7 short GI,135925,0
2025-03-05,16:43:52,17,5.0,2.0,6.0,34.00,24-22:22:39,70,-69.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:04:11,0-07:47:42,7.0,-60.0,-61.0,-57.0,-99.0,42.0,MCS 15,254386,MCS 7 short GI,135979,0
2025-03-05,16:44:02,17,5.0,2.0,6.0,34.00,24-22:22:50,70,-70.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:04:20,0-07:47:54,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,254508,MCS 7 short GI,136057,0
2025-03-05,16:44:12,17,5.0,2.0,6.0,34.00,24-22:22:58,69,-70.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 14,30.00,1-00:04:32,0-07:48:02,7.0,-60.0,-63.0,-59.0,-101.0,42.0,MCS 14 short GI,254601,MCS 7 short GI,136093,0
2025-03-05,16:44:23,17,5.0,2.0,6.0,34.00,24-22:23:10,70,-69.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:04:41,0-07:48:14,7.0,-61.0,-64.0,-59.0,-101.0,42.0,MCS 15,254743,MCS 7 short GI,136178,0
2025-03-05,16:44:33,17,5.0,2.0,6.0,34.00,24-22:23:17,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:04:54,0-07:48:25,7.0,-61.0,-65.0,-59.0,-102.0,43.0,MCS 14,254850,MCS 7 short GI,136243,0
2025-03-05,16:44:43,17,5.0,2.0,6.0,33.00,24-22:23:29,70,-69.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:02,0-07:48:33,7.0,-60.0,-64.0,-59.0,-100.0,41.0,MCS 15,254936,MCS 7 short GI,136285,0
2025-03-05,16:44:54,17,5.0,2.0,6.0,33.00,24-22:23:41,70,-70.0,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:14,0-07:48:44,7.0,-60.0,-61.0,-57.0,-99.0,42.0,MCS 15,255058,MCS 7 short GI,136349,0
2025-03-05,16:45:04,17,5.0,2.0,6.0,33.00,24-22:23:52,70,-69.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:24,0-07:48:56,7.0,-60.0,-60.0,-57.0,-99.0,42.0,MCS 15,255165,MCS 7 short GI,136413,0
2025-03-05,16:45:15,17,5.0,2.0,6.0,33.00,24-22:24:00,70,-68.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:35,0-07:49:03,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,255244,MCS 7 short GI,136455,0
2025-03-05,16:45:25,17,5.0,2.0,6.0,33.00,24-22:24:12,70,-68.0,-59.0,-58.0,-99.0,41.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:45,0-07:49:15,7.0,-60.0,-63.0,-58.0,-101.0,43.0,MCS 15,255386,MCS 7 short GI,136539,0
2025-03-05,16:45:35,17,5.0,2.0,6.0,33.00,24-22:24:23,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:05:57,0-07:49:27,7.0,-60.0,-60.0,-57.0,-100.0,43.0,MCS 15,255504,MCS 7 short GI,136606,0
2025-03-05,16:45:46,17,5.0,2.0,6.0,33.00,24-22:24:32,69,-67.0,-63.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 14 shortGI,30.00,1-00:06:06,0-07:49:35,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,255590,MCS 7 short GI,136651,0
2025-03-05,16:45:56,17,5.0,2.0,6.0,33.00,24-22:24:43,70,-67.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:17,0-07:49:47,7.0,-60.0,-60.0,-57.0,-100.0,43.0,MCS 15,255713,MCS 7 short GI,136718,0
2025-03-05,16:46:06,17,5.0,2.0,6.0,33.00,24-22:24:55,69,-69.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:27,0-07:49:58,7.0,-60.0,-59.0,-56.0,-100.0,44.0,MCS 15,255844,MCS 7 short GI,136799,0
2025-03-05,16:46:17,17,5.0,2.0,6.0,33.00,24-22:25:03,70,-68.0,-63.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:36,0-07:50:06,7.0,-59.0,-60.0,-56.0,-100.0,44.0,MCS 15,255944,MCS 7 short GI,136852,0
2025-03-05,16:46:27,17,5.0,2.0,6.0,33.00,24-22:25:14,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:48,0-07:50:18,7.0,-61.0,-58.0,-56.0,-98.0,42.0,MCS 15,256081,MCS 7 short GI,136934,0
2025-03-05,16:46:37,17,5.0,2.0,6.0,33.00,24-22:25:22,69,-68.0,-64.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:06:57,0-07:50:25,7.0,-60.0,-61.0,-58.0,-100.0,42.0,MCS 15 short GI,256150,MCS 7 short GI,136972,0
2025-03-05,16:46:48,17,5.0,2.0,6.0,33.00,24-22:25:34,69,-68.0,-64.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:07:09,0-07:50:37,7.0,-60.0,-59.0,-56.0,-99.0,43.0,MCS 14,256274,MCS 7 short GI,137036,0
2025-03-05,16:46:58,17,5.0,2.0,6.0,33.00,24-22:25:45,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:07:18,0-07:50:48,7.0,-60.0,-59.0,-57.0,-99.0,42.0,MCS 15,256396,MCS 7 short GI,137102,0
2025-03-05,16:47:09,17,5.0,2.0,6.0,33.00,24-22:25:53,70,-68.0,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:07:30,0-07:50:57,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,256484,MCS 7 short GI,137148,0
2025-03-05,16:47:19,17,5.0,2.0,6.0,33.00,24-22:26:05,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:07:39,0-07:51:09,7.0,-61.0,-61.0,-58.0,-100.0,42.0,MCS 15,256605,MCS 7 short GI,137214,0
2025-03-05,16:47:29,17,5.0,2.0,6.0,33.00,24-22:26:17,70,-69.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:07:50,0-07:51:20,7.0,-60.0,-57.0,-55.0,-96.0,41.0,MCS 15,256743,MCS 7 short GI,137300,0
2025-03-05,16:47:40,17,5.0,2.0,6.0,33.00,24-22:26:25,69,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:08:00,0-07:51:28,7.0,-60.0,-58.0,-56.0,-98.0,42.0,MCS 15,256850,MCS 7 short GI,137354,0
2025-03-05,16:47:50,17,5.0,2.0,6.0,33.00,24-22:26:38,70,-69.0,-61.0,-60.0,-100.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:08:12,0-07:51:41,7.0,-60.0,-65.0,-59.0,-101.0,42.0,MCS 15,256978,MCS 7 short GI,137427,0
2025-03-05,16:48:00,17,5.0,2.0,6.0,33.00,24-22:26:49,69,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:08:21,0-07:51:52,7.0,-60.0,-61.0,-58.0,-100.0,42.0,MCS 15,257113,MCS 7 short GI,137508,0
2025-03-05,16:48:11,17,5.0,2.0,6.0,33.00,24-22:26:57,69,-68.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:08:30,0-07:52:00,7.0,-60.0,-61.0,-58.0,-101.0,43.0,MCS 15,257212,MCS 7 short GI,137553,0
2025-03-05,16:48:21,17,5.0,2.0,6.0,33.00,24-22:27:08,70,-68.0,-60.0,-60.0,-100.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:08:42,0-07:52:12,7.0,-60.0,-63.0,-58.0,-101.0,43.0,MCS 15,257354,MCS 7 short GI,137636,0
2025-03-05,16:48:31,17,5.0,2.0,6.0,33.00,24-22:27:20,70,-68.0,-61.0,-60.0,-101.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:08:51,0-07:52:23,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,257478,MCS 7 short GI,137702,0
2025-03-05,16:48:42,17,5.0,2.0,6.0,33.00,24-22:27:28,69,-68.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:09:03,0-07:52:32,7.0,-61.0,-62.0,-58.0,-99.0,41.0,MCS 15,257561,MCS 7 short GI,137743,0
2025-03-05,16:48:52,17,5.0,2.0,6.0,33.00,24-22:27:39,70,-68.0,-60.0,-59.0,-99.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:09:12,0-07:52:42,7.0,-61.0,-61.0,-58.0,-100.0,42.0,MCS 15,257667,MCS 7 short GI,137813,0
2025-03-05,16:49:02,17,5.0,2.0,6.0,33.00,24-22:27:50,70,-69.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:09:24,0-07:52:54,7.0,-61.0,-61.0,-58.0,-102.0,44.0,MCS 15,257786,MCS 7 short GI,137879,0
2025-03-05,16:49:13,17,5.0,2.0,6.0,33.00,24-22:27:58,69,-67.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:09:33,0-07:53:02,7.0,-61.0,-61.0,-58.0,-102.0,44.0,MCS 15,257877,MCS 7 short GI,137918,0
2025-03-05,16:49:23,17,5.0,2.0,6.0,33.00,24-22:28:10,69,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:09:45,0-07:53:13,7.0,-61.0,-60.0,-57.0,-100.0,43.0,MCS 15,258003,MCS 7 short GI,138001,0
2025-03-05,16:49:34,17,5.0,2.0,6.0,33.00,24-22:28:21,70,-68.0,-63.0,-62.0,-102.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:09:54,0-07:53:24,7.0,-61.0,-63.0,-59.0,-101.0,42.0,MCS 15,258129,MCS 7 short GI,138073,0
2025-03-05,16:49:44,17,5.0,2.0,6.0,33.00,24-22:28:30,70,-67.0,-61.0,-60.0,-101.0,41.0,MCS 7 shortGI,MCS 14,29.00,1-00:10:06,0-07:53:33,7.0,-61.0,-62.0,-58.0,-101.0,43.0,MCS 14,258230,MCS 7 short GI,138125,0
2025-03-05,16:49:54,17,5.0,2.0,6.0,33.00,24-22:28:41,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 14 shortGI,29.00,1-00:10:15,0-07:53:45,7.0,-60.0,-67.0,-59.0,-101.0,42.0,MCS 15,258345,MCS 7 short GI,138186,0
2025-03-05,16:50:05,17,5.0,2.0,6.0,33.00,24-22:28:53,70,-68.0,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,29.00,1-00:10:24,0-07:53:57,7.0,-61.0,-65.0,-59.0,-101.0,42.0,MCS 15,258483,MCS 7 short GI,138263,0
2025-03-05,16:50:15,17,5.0,2.0,6.0,33.00,24-22:29:02,70,-67.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 14,29.00,1-00:10:36,0-07:54:05,7.0,-61.0,-60.0,-57.0,-100.0,43.0,MCS 15,258575,MCS 7 short GI,138308,0
2025-03-05,16:50:25,17,5.0,2.0,6.0,33.00,24-22:29:13,69,-67.0,-61.0,-60.0,-99.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:10:45,0-07:54:16,7.0,-60.0,-59.0,-57.0,-99.0,42.0,MCS 15,258712,MCS 7 short GI,138392,0
2025-03-05,16:50:36,17,5.0,2.0,6.0,33.00,24-22:29:20,70,-69.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:10:57,0-07:54:28,7.0,-60.0,-59.0,-57.0,-98.0,41.0,MCS 15,258845,MCS 7 short GI,138465,0
2025-03-05,16:50:46,17,5.0,2.0,6.0,33.00,24-22:29:32,70,-68.0,-63.0,-62.0,-102.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:11:06,0-07:54:36,7.0,-60.0,-59.0,-56.0,-100.0,44.0,MCS 15,258942,MCS 7 short GI,138518,0
2025-03-05,16:50:57,17,5.0,2.0,6.0,33.00,24-22:29:44,70,-68.0,-61.0,-60.0,-102.0,42.0,MCS 7 shortGI,MCS 15,29.00,1-00:11:18,0-07:54:48,7.0,-60.0,-59.0,-57.0,-100.0,43.0,MCS 15,259057,MCS 7 short GI,138586,0
2025-03-05,16:51:07,17,5.0,2.0,6.0,33.00,24-22:29:51,69,-69.0,-61.0,-60.0,-102.0,42.0,MCS 7 shortGI,MCS 15,29.00,1-00:11:27,0-07:54:55,7.0,-60.0,-61.0,-58.0,-101.0,43.0,MCS 15,259142,MCS 7 short GI,138646,0
2025-03-05,16:51:17,17,5.0,2.0,6.0,33.00,24-22:30:04,69,-68.0,-61.0,-60.0,-101.0,41.0,MCS 7 shortGI,MCS 14 shortGI,29.00,1-00:11:36,0-07:55:07,7.0,-60.0,-60.0,-57.0,-101.0,44.0,MCS 14 short GI,259304,MCS 7 short GI,138737,0
2025-03-05,16:51:28,17,5.0,2.0,6.0,33.00,24-22:30:15,70,-68.0,-61.0,-60.0,-101.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:11:48,0-07:55:18,7.0,-60.0,-59.0,-56.0,-98.0,42.0,MCS 14 short GI,259444,MCS 7 short GI,138835,0
2025-03-05,16:51:38,17,5.0,2.0,6.0,33.00,24-22:30:23,70,-68.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:11:57,0-07:55:26,7.0,-60.0,-60.0,-57.0,-101.0,44.0,MCS 15,259534,MCS 7 short GI,138890,0
2025-03-05,16:51:48,17,5.0,2.0,6.0,33.00,24-22:30:35,70,-68.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:12:09,0-07:55:38,7.0,-60.0,-62.0,-58.0,-102.0,44.0,MCS 15,259688,MCS 7 short GI,138978,0
2025-03-05,16:51:59,17,5.0,2.0,6.0,33.00,24-22:30:46,70,-68.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:12:18,0-07:55:50,7.0,-60.0,-56.0,-55.0,-98.0,43.0,MCS 15,259794,MCS 7 short GI,139042,0
2025-03-05,16:52:09,17,5.0,2.0,6.0,33.00,24-22:30:54,70,-67.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 14 shortGI,29.00,1-00:12:30,0-07:55:57,7.0,-60.0,-56.0,-55.0,-98.0,43.0,MCS 15,259882,MCS 7 short GI,139102,0
2025-03-05,16:52:20,17,5.0,2.0,6.0,33.00,24-22:31:05,70,-67.0,-60.0,-60.0,-100.0,40.0,MCS 7 shortGI,MCS 14 shortGI,29.00,1-00:12:39,0-07:56:09,7.0,-60.0,-61.0,-58.0,-101.0,43.0,MCS 15,260015,MCS 7 short GI,139185,0
2025-03-05,16:52:30,17,5.0,2.0,6.0,33.00,24-22:31:17,70,-68.0,-62.0,-61.0,-102.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:12:51,0-07:56:21,7.0,-60.0,-58.0,-56.0,-100.0,44.0,MCS 15,260159,MCS 7 short GI,139261,0
2025-03-05,16:52:40,17,5.0,2.0,6.0,33.00,24-22:31:29,69,-68.0,-63.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:00,0-07:56:32,7.0,-60.0,-60.0,-57.0,-101.0,44.0,MCS 15,260276,MCS 7 short GI,139323,0
2025-03-05,16:52:51,17,5.0,2.0,6.0,33.00,24-22:31:36,70,-68.0,-64.0,-63.0,-102.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:12,0-07:56:40,7.0,-59.0,-60.0,-56.0,-101.0,45.0,MCS 15,260374,MCS 7 short GI,139384,0
2025-03-05,16:53:01,17,5.0,2.0,6.0,33.00,24-22:31:48,70,-68.0,-62.0,-61.0,-102.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:21,0-07:56:52,7.0,-60.0,-57.0,-55.0,-98.0,43.0,MCS 15,260522,MCS 7 short GI,139482,0
2025-03-05,16:53:11,17,5.0,2.0,6.0,33.00,24-22:31:57,69,-67.0,-60.0,-59.0,-101.0,42.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:30,0-07:57:00,7.0,-60.0,-56.0,-54.0,-98.0,44.0,MCS 15,260606,MCS 7 short GI,139539,0
2025-03-05,16:53:22,17,5.0,2.0,6.0,33.00,24-22:32:08,70,-68.0,-62.0,-61.0,-101.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:42,0-07:57:12,7.0,-59.0,-61.0,-57.0,-100.0,43.0,MCS 15,260732,MCS 7 short GI,139636,0
2025-03-05,16:53:32,17,5.0,2.0,6.0,33.00,24-22:32:20,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,29.00,1-00:13:51,0-07:57:24,7.0,-60.0,-62.0,-58.0,-101.0,43.0,MCS 15,260841,MCS 7 short GI,139718,0
2025-03-05,16:53:42,17,5.0,2.0,6.0,33.00,24-22:32:28,69,-67.0,-61.0,-60.0,-100.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:14:03,0-07:57:31,7.0,-60.0,-61.0,-57.0,-101.0,44.0,MCS 15 short GI,260910,MCS 7 short GI,139764,0
2025-03-05,16:53:53,17,5.0,2.0,6.0,33.00,24-22:32:39,70,-67.0,-64.0,-62.0,-102.0,40.0,MCS 7 shortGI,MCS 15,29.00,1-00:14:12,0-07:57:43,7.0,-60.0,-58.0,-56.0,-97.0,41.0,MCS 15,261006,MCS 7 short GI,139828,0
2025-03-05,16:54:03,17,5.0,2.0,6.0,33.00,24-22:32:50,70,-68.0,-61.0,-60.0,-101.0,41.0,MCS 7 shortGI,MCS 15,29.00,1-00:14:24,0-07:57:54,7.0,-60.0,-59.0,-57.0,-100.0,43.0,MCS 15,261114,MCS 7 short GI,139910,0
